EN,OCS,CS,PL,SK,LSB,USB,BG,MK,SCL,SCC,SL,BE,RU,RUE,UK
ear,оухо,ucho,ucho,ucho,wucho,wucho,ухо,уво,uvo,уво,uho,вуха,ухо,ухо,вухо
eye,око,oko,oko,oko,woko,wóčko,око,око,oko,око,oko,вока,глаз,око,око
nose,носъ,nos,nos,nos,nos,nós,нос,нос,nos,нос,nos,нос,нос,ніс,ніс
mouth,оуста,ústa,usta,ústa,guba,huba,уста,уста,usta,уста,usta,рот,рот,уста,рот
tooth,зѫбъ,zub,ząb,zub,zub,zub,зъб,заб,zub,зуб,zob,зуб,зуб,зуб,зуб
tongue,ѩзꙑкъ,jazyk,język,jazyk,jězyk,jazyk,език,јазик,jezik,језик,jezik,язык,язык,язык,язик
fingernail,ногъть,nehet,paznokieć,necht,nokś,nochć,нокът,нокт,nokat,нокат,noht,пазногаць,ноготь,нохоть,ніготь
foot,стопа,noha,stopa,chodidlo,noga,noha,крак,стапало,stopa,стопа,stopalo,ступня,стопа,стопа,стопа
leg,нога,noha,noga,noha,noga,noha,крак,нога,noga,нога,noga,нага,нога,нога,нога
knee,колѣно,koleno,kolano,koleno,kóleno,koleno,коляно,колено,koleno,колено,koleno,калена,колено,колїно,коліно
hand,рѫка,ruka,ręka,ruka,ruka,ruka,ръка,рака,ruka,рука,roka,рука,рука,рука,рука
wing,крило,křídlo,skrzydło,krídlo,kśidło,křidło,крило,крило,krilo,крило,krilo,крыло,крыло,крыло,крило
guts,ѫтроба,vnitřnosti,wnętrzności,vnútornosti,crjowo,črjewa,вътрешности,црева,creva,црева,drobovje,вантробы,внутренности,кышкы,нутрощі
neck,шїѧ,krk,szyja,krk,šyja,šija,врат,врат,vrat,врат,vrat,шыя,шея,шыя,шия
back,хребетъ,záda,plecy,chrbát,kśebjat,chribjet,гръб,грб,leđa,леђа,hrbet,спіна,спина,хырбет,спина
breast,прьси,prs,pierś,prsia,bok,hrudź,гръд,града,prsa,прса,prsi,грудзі,грудь,груди,груди
heart,срьдьцє,srdce,serce,srdce,wutšoba,wutroba,сърце,срце,srce,срце,srce,сэрца,сердце,сердце,серце
to,пити,pít,pić,piť,piś,pić,пия,пие,piti,пити,piti,піць,пить,пити,пити
to,ꙗсти,jíst,jeść,jesť,jěsć,jěsć,храня,јаде,jesti,јести,jesti,есці,есть,їсти,їсти
to,хапати,kousat,gryźć,hrýzť,kusaś,kusać,хапя,каса,gristi,гристи,gristi,кусаць,грызть,кусати,кусати
to,съсати,sát,ssać,sať,cycaś,cycać,суча,цица,sisati,сисати,sesati,сасаць,сосать,ссати,смоктати
to,пльвати,plivat,pluć,pľuvať,pluwaś,pluwać,плюя,плука,pljuvati,пљувати,pljuvati,пляваць,плевать,плювати,плювати
to,бльвати,zvracet,wymiotować,zvracať,bluwaś,wróćeć,повръщам,повраќа,povraćati,повраћати,bruhati,ванітаваць,рвать,блювати,блювати
to,доухати,foukat,wiać,fúkať,duś,duć,духам,дува,duvati,дувати,pihati,дзьмуць,дуть,дути,дмухати
to,дꙑхати,dýchat,oddychać,dýchať,dychaś,dychać,дишам,дише,disati,дисати,dihati,дыхаць,дышать,дыхати,дихати
to,смиꙗти,smát,śmiać,smiať,smjaś,smjeć,смея,смее,smejati,смејати,smejati,смяяцца,смеяться,сміяти,сміятися
to,видѣти,vidět,widzieć,vidieť,wiźeś,widźeć,виждам,гледа,videti,видети,videti,бачыць,видеть,відїти,бачити
to,слꙑшати,slyšet,słyszeć,mať,słyšaś,słyšeć,чувам,слуша,slušati,слушати,slišati,чуць,слышать,чути,чути
to,вѣдѣти,vědět,wiedzieć,vedieť,wěźeś,wědźeć,зная,знае,znati,знати,vedeti,ведаць,знать,знати,знати
to,мꙑслити,myslet,myśleć,myslieť,mysliś,myslić,мисля,мисли,misliti,мислити,misliti,думаць,думать,думати,думати
to,боꙗти,bát,bać,báť,bójaś,bojeć,боя,плаши,bojati,бојати,bati,баяцца,бояться,бояти,боятися
to,съпати,spát,spać,spať,spaś,spać,спя,спие,spavati,спавати,spati,спаць,спать,спати,спати
to,жити,žít,żyć,žiť,žywy,živy,живея,живее,živeti,живети,živeti,жыць,жить,жыти,жити
to,оумрѣти,umírat,umierać,umierať,wumrěś,wumrěć,умирам,умира,umreti,умрети,umreti,паміраць,умирать,умерати,помирати
to,оубити,zabít,zabić,zabiť,wusmjerśiś,zabić,убивам,убива,ubiti,убити,ubiti,забіваць,убивать,забити,вбивати
to,брати,bojovat,walczyć,bojovať,wójowaś,wojować,бия,бори,boriti,борити,boriti,біцца,бороться,боёвати,боротися
to,ловити,lovit,polować,loviť,góńtwowaś,hońtwjerić,ловувам,ловува,loviti,ловити,loviti,паляваць,ловить,ловити,полювати
to,оударити,udeřit,uderzyć,udrieť,biś,bić,удрям,удира,udariti,ударити,udariti,ударыць,ударить,ударити,вдарити
to,сѣщи,řezat,ciąć,ťať,rězaś,rězać,режа,сече,rezati,резати,rezati,рэзаць,резать,рїзати,різати
to,бости,bodnout,pchnąć,bodať,štapaś,štapać,промушвам,убодува,ubosti,убости,zabosti,калоць,бодать,колоти,колоти
to,чєсати,škrábat,drapać,škriabať,drapaś,drapać,чеша,гребе,češati,чешати,škrabati,драпаць,царапать,шкрябати,дряпати
to,копати,kopat,kopać,kopať,ryś,ryć,копая,копа,kopati,копати,kopati,капаць,копать,копати,копати
to,плавати,plavat,pływać,plávať,plěś,płuwać,плувам,плива,plivati,пливати,plavati,плыць,плыть,плавати,пливти
to,лєтѣти,letět,lecieć,letieť,leśeś,lećeć,летя,лета,leteti,летети,leteti,лятаць,летать,летїти,летіти
to,ходити,jít,iść,ísť,hyś,hić,вървя,шета,hodati,ходати,hoditi,ісці,ходить,ходити,йти
to,лєжати,ležet,leżeć,ležať,lažaś,ležeć,лежа,леже,ležati,лежати,ležati,ляжаць,лежать,лежати,лежати
to,сѣдѣти,sedět,siedzieć,sedieť,sejźeś,sedźeć,седя,седи,s(j)esti,с(ј)ести,sesti,сядзець,сидеть,сїдїти,сидіти
to,стати,stát,stać,stáť,stojaś,stać,стоя,стои,stati,стати,stati,стаяць,стоять,стояти,стати
to,пасти,padat,padać,padať,padaś,padać,падам,паѓа,pasti,пасти,padati,упасьці,падать,падати,впасти
to,дати,dát,dać,dať,dawaś,dać,давам,дава,dati,дати,dajati,даваць,давать,дати,давати
to,дрьжати,držet,trzymać,držať,źaržaś,dźeržeć,държа,држи,držati,држати,držati,трымаць,держать,держати,тримати
to,трьти,třít,trzeć,trieť,šurowaś,šudrować,трия,трие,trljati,трљати,treti,церці,тереть,терти,терти
to,мꙑти,mýt,myć,umývať,myś,myć,мия,мие,prati,прати,umivati,мыць,мыть,мыти,мити
to,вѧзати,vázat,wiązać,viazať,wězaś,wjazać,връзвам,врзува,vezati,везати,vezati,вязаць,вязать,вязати,зaвязати
to,рєщи,mluvit,mówić,hovoriť,groniś,rěčeć,казвам,вели,reći,рећи,reči,казаць,говорить,повісти,казати
to,пѣти,zpívat,śpiewać,spievať,spiwaś,spěwać,пея,пее,pevati,певати,peti,сьпяваць,петь,співати,співати
to,тєшти,téct,płynąć,tiecť,běžaś,běžeć,тека,тече,teći,тећи,teči,цячы,течь,течі,текти
to,помръзнѫти,mrznout,zamarzać,mrznúť,marznuś,mjerznyć,замръзвам,заледува,zalediti,заледити,zamrzniti,замерзнуць,морозить,мерзнути,змерзнути
sun,слъньцє,slunce,słońce,slnko,słyńco,słónco,слънце,сонце,sunce,сунце,sonce,сонца,солнце,сонце,сонце
moon,мѣсѧць,měsíc,księżyc,mesiac,mjasec,měsačk,луна,месечина,mesec,месец,mesec,месяц,луна,місяць,місяць
star,звѣзда,hvězda,gwiazda,hviezda,gwězda,hwězda,звезда,ѕвезда,zvezda,звезда,zvezda,зорка,звезда,звізда,зірка
water,вода,voda,woda,voda,wóda,woda,вода,вода,voda,вода,voda,вада,вода,вода,вода
rain,дъждь,déšť,deszcz,dážď,dešć,dešć,дъжд,дожд,kiša,киша,dež,дождж,дождь,додж,дощ
river,рѣка,řeka,rzeka,rieka,rěka,rěka,река,река,reka,река,reka,рака,река,ріка,ріка
lake,ѥзєръ,jezero,jezioro,jazero,jazoro,jězor,езеро,езеро,jezero,језеро,jezero,возера,озеро,озеро,озеро
sea,морѥ,moře,morze,more,mórjo,morjo,море,море,more,море,morje,мора,море,море,море
salt,соль,sůl,sól,soľ,sol,sól,сол,сол,so,со,sol,соль,соль,сіль,сіль
stone,камꙑ,kámen,kamień,kameň,kamjeń,kamjeń,камък,камен,kamen,камен,kamen,камень,камень,камінь,камінь
sand,пѣсъкъ,písek,piasek,piesok,pěsk,pěsk,пясък,песок,pesak,песак,pesek,пясок,песок,пісок,пісок
dust,прахъ,prach,kurz,prach,proch,proch,прах,прашина,prašina,прашина,prah,пыл,пыль,порох,пил
earth,зємлꙗ,země,ziemia,zem,zemja,zemja,земя,земја,zemlja,земља,zemlja,зямля,земля,земля,земля
cloud,облакъ,mrak,chmura,oblak,mrok,mróčel,облак,облак,oblak,облак,oblak,хмара,облако,хмара,хмара
fog,мьгла,mlha,mgła,hmla,kurjawa,kurjawa,мъгла,магла,magla,магла,megla,імгла,туман,молга,туман
sky,нєбо,nebe,niebo,nebo,njebjo,njebjo,небе,небо,nebo,небо,nebo,неба,небо,небо,небо
wind,вѣтръ,vítr,wiatr,vietor,wětš,wětřik,вятър,ветер,vetar,ветар,veter,вецер,ветер,вітор,вітер
snow,снѣгъ,sníh,śnieg,sneh,sněg,sněh,сняг,снег,sneg,снег,sneg,снег,снег,снїг,сніг
ice,лєдъ,led,lód,ľad,lod,lód,лед,мраз,led,лед,led,лёд,лёд,лед,лід
smoke,дꙑмъ,kouř,dym,dym,dym,kur,пушек,дим,dim,дим,dim,дым,дым,дым,дим
fire,огнь,oheň,ogień,oheň,wogeń,woheń,огън,оган,vatra,ватра,ogenj,агонь,огонь,огень,вогонь
to,горѣти,hořet,palić,horieť,paliś,palić,горя,гори,goreti,горети,žgati,гарэць,гореть,горїти,горіти
road,пѫть,silnice,droga,cesta,droga,puć,път,пат,put,пут,cesta,дарога,дорога,дорога,дорога
mountain,гора,hora,góra,hora,góra,hora,планина,планина,planina,планина,gora,гара,гора,гора,гора
red,чръвєнъ,červený,czerwony,červený,cerwjeny,čerwjeny,червен,црвен,crven,црвен,rdeč,чырвоны,красный,червеный,червоний
green,зєлєнъ,zelený,zielony,zelený,zeleny,zeleny,зелен,зелен,zelen,зелен,zelen,зялёны,зелёный,зеленый,зелений
white,бѣлъ,bílý,biały,biely,běły,běły,бял,бел,beo,бео,bel,белы,белый,білый,білий
black,чрънъ,černý,czarny,čierny,carny,čorny,черен,црн,crn,црн,črn,чорны,чёрный,чорный,чорний
night,нощь,noc,noc,noc,noc,nóc,нощ,ноќ,noć,ноћ,noč,ноч,ночь,ніч,ніч
day,дьнь,den,dzień,deň,źeń,dźeń,ден,ден,dan,дан,dan,дзень,день,день,день
year,лѣто,rok,rok,rok,lěto,lěto,година,година,godina,година,leto,год,год,рік,рік
warm,топлъ,teplý,ciepły,teplý,śopły,ćopły,топъл,топол,topao,топао,topel,цёплы,тёплый,теплый,теплий
cold,хладьнъ,studený,zimny,studený,zymny,zymny,студен,студен,hladnoća,хладноћа,hladen,халодны,холодный,зимный,холодний
full,испльнь,plný,pełny,plný,połny,połny,пълен,полн,pun,пун,poln,поўны,полный,повный,повний
new,новъ,nový,nowy,nový,nowy,nowy,нов,нов,nov,нов,nov,новы,новый,новый,новий
old,старъ,starý,stary,starý,stary,stary,стар,стар,star,стар,star,стары,старый,старый,старий
good,добръ,dobrý,dobry,dobrý,dobry,dobry,добър,добар,dobar,добар,dober,добры,хороший,добрый,гарний
bad,зълъ,špatný,zły,zlý,zły,hubjeny,лош,лош,zao,зао,zloben,дрэнны,плохой,планый,поганий
straight,правъ,přímý,prosty,priamy,rowny,runy,прав,прав,prav,прав,raven,прамы,прямой,прямый,прямий
sharp,остръ,ostrý,ostry,ostrý,wótšy,wótry,остър,остар,oštar,оштар,oster,востры,острый,острый,гострий
smooth,гладъкъ,hladký,gładki,hladký,gładki,hładki,гладък,мазен,gladak,гладак,gladek,гладкі,гладкий,гладкый,гладенький
wet,мокръ,mokrý,mokry,vlhký,mokšy,mokry,мокър,мокар,mokar,мокар,moker,мокры,мокрый,мокрый,мокрий
dry,соухъ,suchý,suchy,suchý,suchy,suchi,сух,сув,suv,сув,suh,сухі,сухой,сухый,сухий
right,правъ,správný,poprawny,správny,pšawy,prawy,правилен,точен,tačan,тачан,točen,правільны,правильный,правилный,правильний
near,близъ,blízký,bliski,blízky,bliski,bliski,близък,близок,blizak,близак,bližnji,блізкі,близкий,близкый,близький
far,дальнии,daleký,daleki,ďaleký,daloki,daloki,далечен,далечен,dalek,далек,daljen,далёкі,далёкий,далекый,далекий
right,дєснъ,pravý,prawy,pravý,pšawy,prawy,десен,десно,desni,десни,desni,правы,правый,правый,правий
left,лѣвъ,levý,lewy,ľavý,lěwy,lěwy,ляв,лево,levi,леви,levi,левы,левый,лївый,лівий
at,оу,u,u,pri,wu,při,в,до,u,у,v,каля,при,коло,коло
in,въ,v,w,v,w,w,в,во,u,у,v,у,в,в,в
with,съ,s,z,s,z,z,с,со,s,с,s,з,с,з,з
and,и,a,i,a,a,a,и,и,i,и,in,і,и,і,та
if,ащє,jestliže,jeśli,ak,joli,hdyž,ако,ако,ako,ако,če,калі,если,кідь,якщо
because,пон҄єжє,protože,bo,pretože,dokulaž,dokelž,защото,затоа,zbog,због,zaradi,бо,потому,бо,бо
name,имѧ,jméno,imię,meno,mě,mjeno,име,име,ime,име,ime,імя,имя,імя,імя
